filename,title,author,magazine,vol_issue,publication_date,pages,keywords,scanned_yes_no,notes,code_flag
Measuring Market Cycles.pdf,Measuring Market Cycles.pdf,,Stocks & Commodities,,,,cycle;mesa;period,no,,no
The Reverse EMA Indicator.pdf,The Reverse EMA Indicator.pdf,,Stocks & Commodities,,,,ema;moving-average,no,,no
The Deviation-Scaled Moving Average.pdf,The Deviation-Scaled Moving Average.pdf,,Stocks & Commodities,,,,,no,,no
Recursive Median Filters.pdf,Recursive Median Filters.pdf,,Stocks & Commodities,,,,filter;median;oscillator;rsi,no,,no
RocketRSI—A Solid Propellant For Your Rocket Science Trading.pdf,RocketRSI—A Solid Propellant For Your Rocket Science Trading.pdf,,Stocks & Commodities,,,,oscillator;rsi,no,,no
Probability—Probably A Good Thing To Know.pdf,Probability—Probably A Good Thing To Know.pdf,,Stocks & Commodities,,,,,no,,no
Creating More Robust Trading Strategies With The FM Demodulator.pdf,Creating More Robust Trading Strategies With The FM Demodulator.pdf,,Stocks & Commodities,,,,,no,,no
A Technical Description Of Market Data For Traders.pdf,A Technical Description Of Market Data For Traders.pdf,,Stocks & Commodities,,,,,no,,no
"The MAD Indicator, Enhanced.pdf","The MAD Indicator, Enhanced.pdf",,Stocks & Commodities,,,,,no,,no
Cycle_Trend Analytics And The MAD Indicator.pdf,Cycle_Trend Analytics And The MAD Indicator.pdf,,Stocks & Commodities,,,,cycle;mesa;period,no,,no
Windowing.pdf,Windowing.pdf,,Stocks & Commodities,,,,,no,,no
Inverse Fisher Transform Redux.pdf,Inverse Fisher Transform Redux.pdf,,Stocks & Commodities,,,,confirmation;fisher;oscillator;transform,no,,no
(Yet Another) Improved RSI.pdf,(Yet Another) Improved RSI.pdf,,Stocks & Commodities,,,,oscillator;rsi,no,,no
Pairs Rotation With Ehlers Loops part 2.pdf,Pairs Rotation With Ehlers Loops part 2.pdf,,Stocks & Commodities,,,,pairs;portfolio,no,,no
Ehlers Loops Part 1.pdf,Ehlers Loops Part 1.pdf,,Stocks & Commodities,,,,,no,,no
Recurring Phase Of Cycle Analysis.pdf,Recurring Phase Of Cycle Analysis.pdf,,Stocks & Commodities,,,,cycle;mesa;period,no,,no
Just Ignore Them.pdf,Just Ignore Them.pdf,,Stocks & Commodities,,,,,no,,no
Every Little Bit Helps.pdf,Every Little Bit Helps.pdf,,Stocks & Commodities,,,,,no,,no
The Ultimate Smoother.pdf,The Ultimate Smoother.pdf,,Stocks & Commodities,,,,baseline;filter;smoother,no,,no
What Is The Real Meaning Of The EMA Alpha.pdf,What Is The Real Meaning Of The EMA Alpha.pdf,,Stocks & Commodities,,,,ema;moving-average,no,,no
Ultimate Channels And Ultimate Bands.pdf,Ultimate Channels And Ultimate Bands.pdf,,Stocks & Commodities,,,,bands;channels;range,no,,no
Ultimate Strength Index (USI).pdf,Ultimate Strength Index (USI).pdf,,Stocks & Commodities,,,,,no,,no
The Ultimate Oscillator.pdf,The Ultimate Oscillator.pdf,,Stocks & Commodities,,,,oscillator,no,,no
Plotting With Strategies.pdf,Plotting With Strategies.pdf,,Stocks & Commodities,,,,code;implementation;plotting,no,,yes
Back To Basics.pdf,Back To Basics.pdf,,Stocks & Commodities,,,,,no,,no
Drunkard's Walk Theory And Measurement By Autocorrelation.pdf,Drunkard's Walk Theory And Measurement By Autocorrelation.pdf,,Stocks & Commodities,,,,,no,,no
Linear Predictive Filters And Instantaneous Frequency.pdf,Linear Predictive Filters And Instantaneous Frequency.pdf,,Stocks & Commodities,,,,,no,,no
Laguerre Filters.pdf,Laguerre Filters.pdf,,Stocks & Commodities,,,,detrending;filter;lag;laguerre,no,,no
Making A Better Oscillator.pdf,Making A Better Oscillator.pdf,,Stocks & Commodities,,,,oscillator,no,,no
Removing Moving Average Lag.pdf,Removing Moving Average Lag.pdf,,Stocks & Commodities,,,,detrending;lag,no,,no
The Continuation Index.pdf,The Continuation Index.pdf,,Stocks & Commodities,,,,,no,,no
The Super Passband Filter.pdf,The Super Passband Filter.pdf,,Stocks & Commodities,,,,bandpass;baseline;filter,no,,no
Squelch Those Whipsaws.pdf,Squelch Those Whipsaws.pdf,,Stocks & Commodities,,,,noise;squelch;whipsaw,no,,no
Nonlinear Ehlers Filters.pdf,Nonlinear Ehlers Filters.pdf,,Stocks & Commodities,,,,,no,,no
A Peek Into The Future.pdf,A Peek Into The Future.pdf,,Stocks & Commodities,,,,,no,,no
Fourier Series Model Of The Market.pdf,Fourier Series Model Of The Market.pdf,,Stocks & Commodities,,,,,no,,no
Noise Elimination Technology.pdf,Noise Elimination Technology.pdf,,Stocks & Commodities,,,,noise;squelch;whipsaw,no,,no
Reflex_A_New Zero-Lag Indicator.pdf,Reflex_A_New Zero-Lag Indicator.pdf,,Stocks & Commodities,,,,detrending;lag,no,,no
Truncated Indicators.pdf,Truncated Indicators.pdf,,Stocks & Commodities,,,,,no,,no
Correlation As A Cycle Indicator.pdf,Correlation As A Cycle Indicator.pdf,,Stocks & Commodities,,,,cycle;mesa;period,no,,no
Correlation As A Trend Indicator.pdf,Correlation As A Trend Indicator.pdf,,Stocks & Commodities,,,,trend,no,,no
The DMH_An Improved Directional Movement Indicator.pdf,The DMH_An Improved Directional Movement Indicator.pdf,,Stocks & Commodities,,,,,no,,no
